#P       All                             SF                              AGN                             LERG                            HERG                    
#P       All_N       All_rho     All_rhoerrup        All_rhoerrlow       SF_N       SF_rho     SF_rhoerrup        SF_rhoerrlow       AGN_N       AGN_rho     AGN_rhoerrup        AGN_rhoerrlow       LERG_N       LERG_rho     LERG_rhoerrup        LERG_rhoerrlow       HERG_N       HERG_rho     HERG_rhoerrup        HERG_rhoerrlow
21.00   1.00    -3.58   0.30    3.00    1.00    -3.58   0.30    3.00    -99.00  -99.00  -99.00  -99.00  -99.00  -99.00  -99.00  -99.00  -99.00  -99.00  -99.00  -99.00
21.40   14.00   -3.28   0.10    0.13    14.00   -3.28   0.10    0.13    -99.00  -99.00  -99.00  -99.00  -99.00  -99.00  -99.00  -99.00  -99.00  -99.00  -99.00  -99.00
21.80   76.00   -3.15   0.05    0.05    67.00   -3.21   0.05    0.06    9.00    -3.97   0.12    0.18    8.00    -4.00   0.13    0.19    1.00    -4.75   0.30    3.00
22.20   156.00  -3.55   0.03    0.04    128.00  -3.64   0.04    0.04    28.00   -4.13   0.08    0.09    22.00   -4.19   0.08    0.10    6.00    -5.06   0.15    0.23
22.60   208.00  -4.03   0.03    0.03    144.00  -4.18   0.03    0.04    64.00   -4.56   0.05    0.06    46.00   -4.72   0.06    0.07    18.00   -5.07   0.09    0.12
23.00   255.00  -4.51   0.03    0.03    109.00  -4.84   0.04    0.04    146.00  -4.78   0.03    0.04    124.00  -4.85   0.04    0.04    22.00   -5.58   0.08    0.10
23.40   314.00  -4.95   0.02    0.03    41.00   -5.79   0.06    0.07    273.00  -5.02   0.03    0.03    234.00  -5.09   0.03    0.03    39.00   -5.84   0.06    0.08
23.80   440.00  -5.26   0.02    0.02    21.00   -6.54   0.09    0.11    419.00  -5.28   0.02    0.02    368.00  -5.34   0.02    0.02    51.00   -6.15   0.06    0.07
24.20   349.00  -5.46   0.02    0.02    2.00    -7.63   0.23    0.53    347.00  -5.47   0.02    0.02    319.00  -5.52   0.02    0.02    28.00   -6.43   0.08    0.09
24.60   242.00  -5.65   0.03    0.03    -99.00  -99.00  -99.00  -99.00  242.00  -5.65   0.03    0.03    217.00  -5.71   0.03    0.03    25.00   -6.52   0.08    0.10
25.00   112.00  -6.03   0.04    0.04    -99.00  -99.00  -99.00  -99.00  112.00  -6.03   0.04    0.04    101.00  -6.07   0.04    0.05    11.00   -7.04   0.11    0.16
25.40   27.00   -6.57   0.08    0.09    -99.00  -99.00  -99.00  -99.00  27.00   -6.57   0.08    0.09    20.00   -6.78   0.09    0.11    7.00    -6.98   0.14    0.21
25.80   17.00   -6.83   0.09    0.12    -99.00  -99.00  -99.00  -99.00  17.00   -6.83   0.09    0.12    7.00    -7.26   0.14    0.21    10.00   -7.03   0.12    0.16
26.20   8.00    -7.07   0.13    0.19    -99.00  -99.00  -99.00  -99.00  8.00    -7.07   0.13    0.19    3.00    -7.42   0.20    0.37    5.00    -7.33   0.16    0.26
